sourcePostId,title,proposedCollection,severity,message
1403,"Turkish gov’t accused of turning prisons into enterprises, exploiting inmates’ labor",basinda,warning,"Öne çıkan görselin alt metni boş (post_id=1403, https://mustafaeren.net/wp-content/uploads/2020/12/Ekran-Resmi-2020-12-16-09.44.26.png)"
1403,"Turkish gov’t accused of turning prisons into enterprises, exploiting inmates’ labor",basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
1408,"Cezaevlerinde emek sömürüsü: Bakanlık, mahkûmları 14 TL yevmiyeyle çalıştırıyor",basinda,warning,"Öne çıkan görselin alt metni boş (post_id=1408, https://mustafaeren.net/wp-content/uploads/2020/12/Ekran-Resmi-2020-12-17-12.22.53.png)"
1408,"Cezaevlerinde emek sömürüsü: Bakanlık, mahkûmları 14 TL yevmiyeyle çalıştırıyor",basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
1414,"AKP'li Özlem Zengin: ""Türkiye'de Çıplak Arama Olduğuna Asla İnanmıyorum""",yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=1414, https://mustafaeren.net/wp-content/uploads/2020/12/Ekran-Resmi-2020-12-19-09.38.38.png)"
1414,"AKP'li Özlem Zengin: ""Türkiye'de Çıplak Arama Olduğuna Asla İnanmıyorum""",yazilar,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
1419,Çıplak Arama Konusuna Devam,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=1419, https://mustafaeren.net/wp-content/uploads/2020/12/Ekran-Resmi-2020-12-19-10.09.47-kopyasi.png)"
1419,Çıplak Arama Konusuna Devam,yazilar,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
1552,Évolutions du régime carcéral en Turquie,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=1552, https://mustafaeren.net/wp-content/uploads/2021/04/PDG.png)"
1552,Évolutions du régime carcéral en Turquie,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
